Date,Toyota,Ford,GM
5/26/98,-0.0064532,0.00748802,-0.0242446
6/1/98,-0.0087246,0.02737091,0.01994507
6/8/98,-0.0061075,-0.0242886,-0.0322156
6/15/98,0.02027764,0.02273686,-0.0149734
6/22/98,-0.0164504,0.02675165,-0.0041646
6/29/98,0.01378233,-0.0051462,0.01281526
7/6/98,-0.0038003,0,0.01447062
7/13/98,0.01491561,0.00751488,-0.008148
7/20/98,-0.0160342,-0.0093677,0.00729744
7/27/98,-0.0071521,-0.0016743,0.00759534
8/3/98,-0.0072719,-0.0387725,-0.0075953
8/10/98,-0.0244094,-0.027988,-0.017259
8/17/98,0.00244272,-0.0072329,-0.0176273
8/24/98,-0.0475769,-0.0035507,-0.0278596
8/31/98,0.02933615,-0.0563081,-0.0352029
9/8/98,0.00126832,0.01446951,0.00093239
9/14/98,-0.0163458,0.01613589,0.00476379
9/21/98,0.00294882,0.0296952,0.01091641
9/28/98,0.0174936,-0.047552,-0.0268667
10/5/98,0.02498618,0.01118626,-0.0337734
10/12/98,0.03561164,0.05999793,0.06383674
10/19/98,-0.0163065,-0.0075935,0.00994948
10/26/98,-0.0044602,0.04001708,0.02031091
11/2/98,0.02185649,-0.0025301,0.0258324
11/9/98,-0.0168302,-0.0045127,0.02342806
11/16/98,0.02625128,0.01606889,0.00985884
11/23/98,0.00212499,-0.0020957,-0.0026003
11/30/98,-0.0094649,0.00981925,-0.0119514
12/7/98,0.0052936,-0.0117333,-0.0039859
12/14/98,0.00311005,0.01545159,0.01635434
12/21/98,-0.0202076,0.01509951,0.01162027
12/28/98,0.02793016,-0.0014327,-0.0113077
1/4/99,-0.0082541,0.04430203,0.04871559
1/11/99,-0.0318098,-0.0203963,0.01733759
1/19/99,0.00887502,-0.0080538,0.03710221
1/25/99,0.02549803,0.00737418,-0.0047898
2/1/99,-0.0020317,-0.0308265,-0.0165022
2/8/99,0.00203169,0.00490118,-0.010918
2/16/99,-0.024378,0.00680558,0.00840935
2/22/99,0.0223463,0.00371572,-0.0149148
3/1/99,-0.0020412,0.00594933,0.0307586
3/8/99,0.02531258,-0.0161098,0.00183634
3/15/99,0.01549744,0.00466409,0.00397982
3/22/99,-0.0104911,-0.0121223,-0.009175
3/29/99,0.03328547,-0.0035002,-0.012485
4/5/99,-0.006815,0.03018512,0.00086668
4/12/99,0.01178107,0.02983667,0.01161833
4/19/99,-0.0164109,-0.007474,0.00577784
4/26/99,-0.0093297,0.0044025,-0.0002496
5/3/99,0.00377196,0.00628139,-0.012068
5/10/99,-0.0222133,-0.0285834,-0.0154173
5/17/99,-0.0069516,-0.0183127,0.00106271
5/24/99,0,-0.0082725,0.00053038
6/1/99,0.02061106,-0.0064016,-0.0039937
6/7/99,0.03625781,-0.0151873,-0.030371
6/14/99,-0.0080203,0.00549867,-0.0064541
6/21/99,0.00584074,-0.0130049,0.00472956
6/28/99,0.03404283,0.0314491,0.03369744
7/6/99,-0.0099356,-0.0111575,-0.0161069
7/12/99,0.01485391,-0.0152731,0.01894026
7/19/99,-0.008205,-0.0050186,-0.0222718
7/26/99,0.02720755,-0.038336,-0.0306937
8/2/99,-0.0246879,-0.0034062,-0.006327
8/9/99,-0.0025197,0.00446525,0.03094004
